,date,open,high,low,close,volume,market cap
0,"Nov 21, 2022",16291.22,16291.22,15599.05,15787.28,37429485518.0,303332140407.0
1,"Nov 20, 2022",16712.92,16746.78,16248.69,16291.83,21313378652.0,313012826680.0
2,"Nov 19, 2022",16696.22,16797.88,16570.41,16711.55,16106223492.0,321061621176.0
3,"Nov 18, 2022",16687.91,16947.06,16564.61,16697.78,26862218609.0,320781106963.0
4,"Nov 17, 2022",16670.43,16726.44,16460.68,16687.52,27868914022.0,320570440521.0
5,"Nov 16, 2022",16884.34,16960.3,16430.11,16669.44,33925512989.0,320208159887.0
6,"Nov 15, 2022",16617.48,17051.96,16542.55,16884.61,36599436183.0,324326299580.0
7,"Nov 14, 2022",16352.03,17109.32,15872.94,16618.2,49630243054.0,319192915033.0
8,"Nov 13, 2022",16799.72,16920.77,16320.64,16353.37,27209183682.0,314093257178.0
9,"Nov 12, 2022",17036.88,17066.68,16651.77,16799.18,29717699419.0,322642084634.0
10,"Nov 11, 2022",17583.25,17650.94,16543.48,17034.29,55871616488.0,327139766936.0
11,"Nov 10, 2022",15883.16,18054.31,15834.02,17586.77,83202283721.0,337735690620.0
12,"Nov 09, 2022",18543.76,18590.46,15682.69,15880.78,102905151606.0,304958504278.0
13,"Nov 08, 2022",20600.67,20664.61,17603.54,18541.27,118992465607.0,356030188153.0
14,"Nov 07, 2022",20924.62,21053.25,20489.97,20602.82,53510852236.0,395596352770.0
15,"Nov 06, 2022",21285.06,21345.38,20920.19,20926.49,35082693210.0,401792318391.0
16,"Nov 05, 2022",21144.83,21446.89,21097.64,21282.69,37846047609.0,408613690153.0
17,"Nov 04, 2022",20208.77,21209.56,20188.02,21147.23,64072727950.0,405992446611.0
18,"Nov 03, 2022",20162.69,20382.1,20086.24,20209.99,43228750179.0,387983112928.0
19,"Nov 02, 2022",20482.96,20742.81,20087.13,20159.5,55552169483.0,386993271474.0
20,"Nov 01, 2022",20494.9,20647.29,20359.85,20485.27,39819303159.0,393230695988.0
21,"Oct 31, 2022",20633.7,20795.32,20287.46,20495.77,45668466815.0,393413045573.0
22,"Oct 30, 2022",20817.98,20917.01,20547.46,20635.6,31486345556.0,396075135322.0
23,"Oct 29, 2022",20595.1,20988.39,20566.48,20818.48,40369840645.0,399567972100.0
24,"Oct 28, 2022",20287.96,20724.98,20086.07,20595.35,43994715910.0,395266756395.0
25,"Oct 27, 2022",20772.8,20854.04,20255.37,20285.84,49625110402.0,389306507854.0
26,"Oct 26, 2022",20092.24,20938.13,20076.12,20770.44,58895950537.0,398588922091.0
27,"Oct 25, 2022",19344.96,20348.41,19261.45,20095.86,47761524910.0,385624152242.0
28,"Oct 24, 2022",19567.77,19589.12,19206.32,19345.57,30202235805.0,371211779873.0
29,"Oct 23, 2022",19207.73,19646.65,19124.2,19567.01,22128794335.0,375444263357.0
30,"Oct 22, 2022",19172.38,19248.07,19132.24,19208.19,16104440957.0,368541303588.0
31,"Oct 21, 2022",19053.2,19237.39,18770.97,19172.47,32459287866.0,367839754255.0
32,"Oct 20, 2022",19138.09,19315.2,18971.46,19053.74,24493974420.0,365543015077.0
33,"Oct 19, 2022",19335.03,19348.42,19127.69,19139.53,22425387184.0,367171621206.0
34,"Oct 18, 2022",19550.47,19667.0,19144.77,19334.42,30580012344.0,370891718468.0
35,"Oct 17, 2022",19268.56,19635.8,19173.33,19550.76,27472552998.0,375024092834.0
36,"Oct 16, 2022",19068.91,19389.6,19068.91,19268.09,17988916650.0,369584293836.0
37,"Oct 15, 2022",19185.44,19212.54,19019.25,19067.64,16192235532.0,365722351005.0
38,"Oct 14, 2022",19382.53,19889.15,19115.41,19185.66,38452356727.0,367967465553.0
39,"Oct 13, 2022",19156.97,19453.33,18319.82,19382.9,44219840004.0,371731749298.0
40,"Oct 12, 2022",19052.65,19203.2,19029.76,19157.45,24950173846.0,367391447230.0
41,"Oct 11, 2022",19139.0,19241.96,18925.6,19051.42,28711532910.0,365340817941.0
42,"Oct 10, 2022",19446.42,19515.47,19102.98,19141.48,27425022774.0,367049182259.0
43,"Oct 09, 2022",19417.48,19542.54,19349.26,19446.43,16837262532.0,372876821416.0
44,"Oct 08, 2022",19546.33,19601.7,19299.41,19416.57,16437423167.0,372284398575.0
45,"Oct 07, 2022",19957.56,20041.09,19395.79,19546.85,29227315390.0,374761116006.0
46,"Oct 06, 2022",20161.04,20408.39,19900.09,19955.44,34711412966.0,382574032286.0
47,"Oct 05, 2022",20335.9,20343.75,19801.8,20160.72,33223790572.0,386489739243.0
48,"Oct 04, 2022",19623.58,20380.34,19523.84,20336.84,35887278685.0,389843287588.0
49,"Oct 03, 2022",19044.07,19653.54,19025.23,19623.58,30484729489.0,376151028151.0
50,"Oct 02, 2022",19311.85,19370.31,18970.62,19044.11,20765955327.0,365024821954.0
51,"Oct 01, 2022",19431.1,19471.15,19231.08,19312.09,18719537670.0,370142714487.0
52,"Sep 30, 2022",19573.43,20109.85,19265.66,19431.79,43975248085.0,372414733487.0
53,"Sep 29, 2022",19427.78,19589.27,18924.35,19573.05,41037843771.0,375100872175.0
