,date,open_x,high_x,low_x,close_x,volume_x,market cap_x,open_y,high_y,low_y,close_y,volume_y,market cap_y,open,high,low,close,volume,market cap,ema_8,ema_50,cti,cti_30,crsi,roc,rsi,r_50,hl_pct_change_5,cmf,T3,low_5,safe_dump_50,Weighted_Price
100,2015-11-15,0.8912,0.9215,0.875,0.9064,411848.0,67745801.0,1.0,1.0,1.0,1.0,33393.0,451600.0,333.05,334.66,317.49,320.17,44213100.0,4752464063.0,338.3812319013591,304.76230315358936,-0.8142790466812342,0.7113815449987366,24.495527840080513,-14.500494031564614,47.9861809856391,-66.66539967311566,0.14644518272425244,0.01727321827893421,333.47136132321316,301.0,True,300.6542810573141
101,2015-11-16,0.9062,0.9447,0.892,0.929,620945.0,69458011.0,1.0,1.0,1.0,1.0,10553.0,451600.0,319.73,331.63,315.9,330.75,47980100.0,4911040461.0,336.68540258994597,305.78142852011524,-0.7660717985699953,0.6684890727475303,54.126337231929654,-14.419892361829856,50.90330033923054,-62.64396214223269,0.1012254276231809,0.026485325228189954,328.95668784526333,301.0,True,300.9698862504942
102,2015-11-17,0.9249,1.03,0.9058,1.01,1145440.0,75392162.0,1.0,1.0,1.0,1.0,25693.0,451600.0,330.36,338.35,329.61,335.09,51001600.0,4976765824.0,336.3308686810691,306.93078426442446,-0.6072187783671907,0.618800300261652,56.70157784491547,-10.252564480274263,52.09029215390017,-61.73347695622068,0.07917062361506821,0.012843862732031851,327.02826222838553,313.36,True,301.40436026822306
103,2015-11-18,0.9932,1.01,0.9405,0.9933,681104.0,74320769.0,1.0,1.0,1.0,1.0,6058.0,451600.0,334.59,336.53,330.64,334.59,43783800.0,4970560298.0,335.94400897416483,308.0154593913098,-0.3927567352104516,0.561849645427659,33.746205971000535,-12.010203544942943,51.93451045877021,-61.925829037470194,0.07106679328901566,0.004089561243909557,326.9173830206753,315.9,True,301.7636725733065
104,2015-11-19,0.9887,1.01,0.9375,0.9555,443528.0,71517342.0,1.0,1.0,1.0,1.0,18891.0,451600.0,334.68,335.33,325.27,326.15,45011100.0,4846272452.0,333.76756253546154,308.72661784655253,0.04738211977829372,0.4885282225510144,24.645239473854332,-3.1678641410842645,49.256686919486135,-65.17273216896207,0.07106679328901566,-0.035435652839118134,326.8280878058408,315.9,True,302.0686711615068
105,2015-11-20,0.9557,0.9557,0.8986,0.9249,614335.0,69247998.0,1.0,1.0,1.0,1.0,10003.0,451600.0,326.41,326.47,312.22,322.02,53152900.0,4786301542.0,331.15699308313674,309.24792695060927,0.043678736118624994,0.39540656342467845,22.277996905016987,3.5167802494535216,47.95369921981783,-67.01421068890949,0.0836909871244635,-0.0072559732150290004,325.9894045563158,315.9,True,302.30650392016423
106,2015-11-21,0.9288,0.9787,0.9209,0.9761,455976.0,73107357.0,1.0,1.0,1.0,1.0,6456.0,451600.0,322.09,328.16,319.6,326.93,28200500.0,4860628038.0,330.21766128688415,309.94134157999713,-0.5588686246461654,0.30536727743466274,53.13695275018875,-3.318054117994962,49.65866615507579,-65.20377387673034,0.0836909871244635,-0.011520267245341595,325.2619442798632,312.22,True,302.4623184523644
107,2015-11-22,0.9798,0.9841,0.959,0.968,372173.0,72523507.0,1.0,1.0,1.0,1.0,5443.0,451600.0,326.98,327.01,321.26,324.54,23439400.0,4826466938.0,328.95595877868766,310.5138379886247,-0.4936457161905837,0.2011374626057507,31.165500364680863,-3.6258351893095675,48.820311591095795,-66.15348909175304,0.07786176414066986,-0.0602043036855439,324.59662144638446,312.22,True,302.5866281755816
108,2015-11-23,0.9675,0.9691,0.9339,0.947,441875.0,70970606.0,1.0,1.0,1.0,1.0,25499.0,451600.0,324.35,325.12,321.29,323.05,27478900.0,4805632296.0,327.64352349453486,311.0054521851492,-0.4247437300672572,0.08726754450687252,29.824940765799823,-2.9617614370250234,48.273155270844995,-66.72984682036206,0.07401832041509178,-0.1429224890218983,323.8850721501792,312.22,True,302.7231558196737
109,2015-11-24,0.9464,0.9481,0.8959,0.9002,524195.0,67487356.0,1.0,1.0,1.0,1.0,11121.0,451600.0,323.01,323.06,318.12,320.05,29362600.0,4762244474.0,325.9560738290827,311.3601403347512,-0.4477549741872094,-0.043712878136135246,26.63897967475866,-0.03748008870287922,47.12788369852694,-68.71427452822802,0.05105374415476265,-0.07581831083994751,322.8757232245589,312.22,True,302.84773103979353
