,date,open,high,low,close,volume,market cap
0,"May 12, 2017",1845.76,1856.15,1694.01,1724.24,740984000.0,28150631936.0
1,"May 11, 2017",1780.37,1873.93,1755.35,1848.57,799489984.0,30176934751.0
2,"May 10, 2017",1756.52,1788.44,1719.1,1787.13,915723008.0,29170965564.0
3,"May 09, 2017",1723.89,1833.49,1716.3,1755.36,1167920000.0,28649119972.0
4,"May 08, 2017",1596.92,1723.35,1596.92,1723.35,1340320000.0,28123369330.0
5,"May 07, 2017",1579.47,1596.72,1559.76,1596.71,1080029952.0,26053077975.0
6,"May 06, 2017",1556.81,1578.8,1542.5,1578.8,582529984.0,25757608890.0
7,"May 05, 2017",1540.87,1618.03,1530.31,1555.45,946035968.0,25373374563.0
8,"May 04, 2017",1490.72,1608.91,1490.72,1537.67,933548992.0,25080858487.0
9,"May 03, 2017",1453.78,1492.77,1447.49,1490.09,583795968.0,24301634925.0
10,"May 02, 2017",1421.03,1473.9,1415.69,1452.82,477337984.0,23691443738.0
11,"May 01, 2017",1348.3,1434.32,1348.3,1421.6,713624000.0,23179524919.0
12,"Apr 30, 2017",1321.87,1347.91,1314.92,1347.89,413115008.0,21975104909.0
13,"Apr 29, 2017",1317.84,1327.2,1315.21,1321.79,422705984.0,21547126640.0
14,"Apr 28, 2017",1317.74,1331.28,1292.37,1316.48,527488992.0,21457669552.0
15,"Apr 27, 2017",1281.88,1319.7,1281.3,1317.73,449196992.0,21475836448.0
16,"Apr 26, 2017",1265.99,1294.83,1265.93,1281.08,329631008.0,20876159410.0
17,"Apr 25, 2017",1250.45,1267.58,1249.97,1265.49,242556000.0,20619704237.0
18,"Apr 24, 2017",1209.63,1250.94,1209.63,1250.15,235806000.0,20367443800.0
19,"Apr 23, 2017",1231.92,1232.2,1203.94,1207.21,258951008.0,19665994145.0
20,"Apr 22, 2017",1222.71,1235.56,1208.47,1231.71,249320000.0,20062753908.0
21,"Apr 21, 2017",1229.42,1235.94,1215.56,1222.05,272167008.0,19903192286.0
22,"Apr 20, 2017",1211.08,1240.79,1208.41,1229.08,315108000.0,20015137622.0
23,"Apr 19, 2017",1212.13,1215.51,1205.08,1210.29,288060992.0,19707045565.0
24,"Apr 18, 2017",1193.77,1217.57,1193.77,1211.67,270524000.0,19727334977.0
25,"Apr 17, 2017",1183.25,1194.9,1172.65,1193.91,253206000.0,19436033390.0
26,"Apr 16, 2017",1172.61,1187.22,1172.61,1182.94,183231008.0,19255408766.0
27,"Apr 15, 2017",1167.3,1188.0,1164.96,1172.52,203559008.0,19083656460.0
28,"Apr 14, 2017",1170.33,1190.8,1159.79,1167.54,254827008.0,19000400018.0
29,"Apr 13, 2017",1201.02,1205.89,1156.44,1169.28,351968992.0,19026699552.0
30,"Apr 12, 2017",1204.81,1207.14,1196.76,1200.37,288702016.0,19530680104.0
31,"Apr 11, 2017",1187.46,1208.07,1187.46,1205.01,216182000.0,19604036563.0
32,"Apr 10, 2017",1187.3,1190.34,1179.04,1187.13,215883008.0,19310642460.0
33,"Apr 09, 2017",1176.57,1197.21,1171.86,1187.87,242343008.0,19320511927.0
34,"Apr 08, 2017",1172.65,1184.98,1162.58,1175.95,209312000.0,19124327856.0
35,"Apr 07, 2017",1178.94,1186.58,1163.39,1176.9,317022016.0,19137747435.0
36,"Apr 06, 2017",1125.81,1188.37,1125.81,1182.68,511222016.0,19229356147.0
37,"Apr 05, 2017",1134.14,1135.09,1113.63,1124.78,414784000.0,18285857775.0
38,"Apr 04, 2017",1145.52,1156.44,1120.52,1133.25,436310016.0,18421262063.0
39,"Apr 03, 2017",1102.95,1151.74,1102.95,1143.81,580444032.0,18591158323.0
40,"Apr 02, 2017",1080.61,1107.59,1075.45,1102.17,514187008.0,17911915755.0
41,"Apr 01, 2017",1071.71,1091.72,1061.09,1080.5,289633984.0,17557597716.0
42,"Mar 31, 2017",1026.64,1074.92,1026.64,1071.79,447287008.0,17414322808.0
43,"Mar 30, 2017",1042.21,1049.29,1020.04,1026.43,352968992.0,16675587066.0
44,"Mar 29, 2017",1046.08,1055.13,1015.88,1039.97,298457984.0,16893415156.0
45,"Mar 28, 2017",1044.58,1064.65,1027.73,1047.15,326332000.0,17008241726.0
46,"Mar 27, 2017",972.05,1046.4,971.98,1045.77,372535008.0,16983801541.0
47,"Mar 26, 2017",974.02,1007.96,954.19,966.72,303668000.0,15698465531.0
48,"Mar 25, 2017",936.54,975.76,903.71,972.78,435803008.0,15794781102.0
49,"Mar 24, 2017",1038.45,1040.47,934.36,937.52,491038016.0,15220718764.0
50,"Mar 23, 2017",1050.05,1058.01,1028.93,1038.59,248540000.0,16859314109.0
51,"Mar 22, 2017",1120.65,1120.65,1014.21,1049.14,380840992.0,17028630158.0
52,"Mar 21, 2017",1055.36,1122.43,1055.36,1120.54,337391008.0,18185299687.0
53,"Mar 20, 2017",1037.24,1063.03,1036.68,1054.23,286529984.0,17107266418.0
