,date,open,high,low,close,volume,market cap
0,"Apr 01, 2016",416.76,418.17,415.83,417.96,51235700.0,6429593619.0
1,"Mar 31, 2016",415.26,418.37,415.26,416.73,60215200.0,6409062819.0
2,"Mar 30, 2016",416.83,416.83,412.5,414.82,66034100.0,6378356002.0
3,"Mar 29, 2016",424.3,426.2,412.68,416.52,75411504.0,6402954687.0
4,"Mar 28, 2016",426.55,426.86,423.29,424.23,68522800.0,6519889575.0
5,"Mar 27, 2016",418.14,428.8,417.71,426.77,71229400.0,6557030843.0
6,"Mar 26, 2016",417.36,418.99,416.26,417.95,44650400.0,6420042696.0
7,"Mar 25, 2016",416.51,418.08,415.56,417.18,52560000.0,6406608048.0
8,"Mar 24, 2016",418.42,418.68,415.49,416.39,68346704.0,6393094869.0
9,"Mar 23, 2016",418.16,419.27,417.36,418.04,61444200.0,6416845742.0
10,"Mar 22, 2016",413.13,418.38,412.53,418.09,66813300.0,6416025151.0
11,"Mar 21, 2016",413.42,413.42,410.38,413.31,61655400.0,6341110984.0
12,"Mar 20, 2016",410.4,414.63,410.4,413.76,45947900.0,6346546570.0
13,"Mar 19, 2016",409.27,410.98,407.23,410.44,58423000.0,6294271612.0
14,"Mar 18, 2016",420.55,420.55,406.14,409.55,104940000.0,6279128504.0
15,"Mar 17, 2016",417.89,421.0,417.89,420.62,83528600.0,6447467967.0
16,"Mar 16, 2016",416.89,417.69,415.91,417.01,65185800.0,6390672724.0
17,"Mar 15, 2016",416.39,418.13,414.98,416.83,66781700.0,6386304534.0
18,"Mar 14, 2016",414.2,416.68,414.2,416.44,95259400.0,6378632901.0
19,"Mar 13, 2016",411.65,416.6,411.64,414.07,74322800.0,6340701565.0
20,"Mar 12, 2016",421.61,421.8,410.09,411.62,92712896.0,6301963440.0
21,"Mar 11, 2016",417.24,423.93,417.01,421.69,73969696.0,6454555816.0
22,"Mar 10, 2016",414.74,417.51,413.25,417.13,81022896.0,6383105414.0
23,"Mar 09, 2016",413.89,416.03,411.61,414.86,70012304.0,6346735710.0
24,"Mar 08, 2016",414.46,416.24,411.09,413.97,70311696.0,6331422309.0
25,"Mar 07, 2016",407.76,415.92,406.31,414.32,85762400.0,6335164892.0
26,"Mar 06, 2016",400.52,411.91,395.78,407.71,91212496.0,6232667872.0
27,"Mar 05, 2016",410.78,411.26,394.04,400.57,135384992.0,6122091567.0
28,"Mar 04, 2016",421.84,425.18,410.94,410.94,90856096.0,6279024638.0
29,"Mar 03, 2016",423.91,425.37,419.41,421.65,100484000.0,6441066887.0
30,"Mar 02, 2016",435.13,435.92,423.99,423.99,74955296.0,6475329604.0
31,"Mar 01, 2016",437.92,439.65,432.32,435.12,74895800.0,6643686404.0
32,"Feb 29, 2016",433.44,441.51,431.69,437.7,60694700.0,6681444705.0
33,"Feb 28, 2016",432.57,435.68,423.82,433.5,53033400.0,6615986322.0
34,"Feb 27, 2016",432.84,434.23,428.1,432.52,41893600.0,6599515471.0
35,"Feb 26, 2016",424.63,432.15,421.62,432.15,61486000.0,6592327507.0
36,"Feb 25, 2016",425.04,427.72,420.42,424.54,70798000.0,6474784226.0
37,"Feb 24, 2016",420.96,425.55,413.91,424.95,67743696.0,6479395124.0
38,"Feb 23, 2016",438.26,439.86,417.82,420.74,85244896.0,6413836323.0
39,"Feb 22, 2016",438.99,439.05,432.92,437.75,85385200.0,6671673493.0
40,"Feb 21, 2016",437.77,448.05,429.08,438.8,89820704.0,6686294225.0
41,"Feb 20, 2016",421.6,441.98,421.6,437.16,93992096.0,6659985887.0
42,"Feb 19, 2016",422.73,423.1,417.6,420.79,55711300.0,6408881658.0
43,"Feb 18, 2016",416.57,426.0,415.64,422.37,76752600.0,6431547586.0
44,"Feb 17, 2016",407.66,421.17,406.78,416.32,83193600.0,6337628174.0
45,"Feb 16, 2016",401.43,408.95,401.43,407.49,73093104.0,6201590434.0
46,"Feb 15, 2016",407.57,410.38,397.75,400.18,74070496.0,6089064891.0
47,"Feb 14, 2016",392.93,407.23,392.93,407.23,74469800.0,6194711495.0
48,"Feb 13, 2016",384.64,391.86,384.64,391.86,61911700.0,5959279526.0
49,"Feb 12, 2016",379.69,384.95,379.6,384.26,67042800.0,5842238586.0
50,"Feb 11, 2016",382.11,383.13,376.4,379.65,74375600.0,5770550973.0
51,"Feb 10, 2016",376.15,385.48,375.78,381.65,85130896.0,5799042060.0
52,"Feb 09, 2016",373.42,377.25,372.9,376.03,55318500.0,5712106127.0
53,"Feb 08, 2016",376.76,379.88,373.33,373.45,47671100.0,5671240831.0
54,"Feb 07, 2016",376.51,380.87,374.9,376.62,37076300.0,5718023735.0
55,"Feb 06, 2016",386.59,386.63,372.39,376.52,49249300.0,5714879155.0
56,"Feb 05, 2016",388.9,391.09,385.57,386.55,43825000.0,5865136968.0
57,"Feb 04, 2016",370.17,391.61,369.99,389.59,69285504.0,5909517630.0
58,"Feb 03, 2016",374.65,374.95,368.05,369.95,45933400.0,5609971377.0
59,"Feb 02, 2016",372.92,375.88,372.92,374.45,40378700.0,5676528707.0
60,"Feb 01, 2016",369.35,378.07,367.96,373.06,51656700.0,5653747618.0
61,"Jan 31, 2016",378.29,380.35,367.83,368.77,37894300.0,5587253351.0
62,"Jan 30, 2016",378.86,380.92,376.49,378.26,30284400.0,5729296096.0
63,"Jan 29, 2016",380.11,384.38,365.45,379.47,86125296.0,5745985821.0
64,"Jan 28, 2016",395.15,395.5,379.73,380.29,59247900.0,5756710303.0
65,"Jan 27, 2016",392.44,396.84,391.78,394.97,47424400.0,5977545745.0
66,"Jan 26, 2016",392.0,397.77,390.58,392.15,58147000.0,5933372928.0
67,"Jan 25, 2016",402.32,402.32,388.55,391.73,59062400.0,5925345408.0
68,"Jan 24, 2016",388.1,405.48,387.51,402.97,54824800.0,6093787908.0
69,"Jan 23, 2016",382.43,394.54,381.98,387.49,56247400.0,5858059876.0
70,"Jan 22, 2016",409.75,410.41,375.28,382.49,91546600.0,5780764155.0
71,"Jan 21, 2016",419.63,422.88,406.3,410.26,68338000.0,6198658815.0
72,"Jan 20, 2016",379.74,425.27,376.6,420.23,121720000.0,6347836794.0
73,"Jan 19, 2016",387.03,387.73,378.97,380.15,46819800.0,5740934168.0
74,"Jan 18, 2016",381.73,388.1,376.67,387.17,54403900.0,5845656048.0
75,"Jan 17, 2016",387.15,390.96,380.09,382.3,45319600.0,5770478451.0
76,"Jan 16, 2016",365.07,390.56,354.91,387.54,120352000.0,5848063566.0
77,"Jan 15, 2016",430.26,430.26,364.33,364.33,153351008.0,5496598039.0
78,"Jan 14, 2016",432.29,433.32,427.85,430.31,43945500.0,6490638885.0
79,"Jan 13, 2016",434.67,435.19,424.44,432.37,173888000.0,6520360056.0
80,"Jan 12, 2016",448.18,448.18,435.69,435.69,115607000.0,6568800100.0
81,"Jan 11, 2016",448.7,450.66,443.86,448.43,40450000.0,6758931030.0
82,"Jan 10, 2016",448.24,448.31,440.35,447.99,35995900.0,6750440386.0
83,"Jan 09, 2016",453.38,454.64,446.89,447.61,32278000.0,6742767343.0
84,"Jan 08, 2016",457.54,462.93,447.94,453.23,56993000.0,6825700454.0
85,"Jan 07, 2016",430.01,458.77,429.08,458.05,87562200.0,6896279078.0
86,"Jan 06, 2016",431.86,431.86,426.34,429.11,34042500.0,6458942098.0
