,date,open,high,low,close,volume,market cap
0,"Mar 21, 2020",6206.52,6378.14,5932.82,6185.07,42494390880.0,113068192795.0
1,"Mar 20, 2020",6191.65,6844.26,5865.78,6198.78,54442976103.0,113309245860.0
2,"Mar 19, 2020",5245.42,6329.74,5236.97,6191.19,51000731797.0,113162079956.0
3,"Mar 18, 2020",5227.11,5331.83,5069.34,5238.44,37878801016.0,95740715529.0
4,"Mar 17, 2020",5002.58,5371.35,4981.91,5225.63,38622642935.0,95499941183.0
5,"Mar 16, 2020",5385.23,5385.23,4575.36,5014.48,45368026430.0,91633478850.0
6,"Mar 15, 2020",5201.07,5836.65,5169.28,5392.31,33997889639.0,98530059890.0
7,"Mar 14, 2020",5573.08,5625.23,5125.07,5200.37,36154506008.0,95014981944.0
8,"Mar 13, 2020",5017.83,5838.11,4106.98,5563.71,74156772075.0,101644613038.0
9,"Mar 12, 2020",7913.62,7929.12,4860.35,4970.79,53980357243.0,90804613601.0
10,"Mar 11, 2020",7910.09,7950.81,7642.81,7911.43,38682762605.0,144508402671.0
11,"Mar 10, 2020",7922.15,8136.95,7814.76,7909.73,42213940994.0,144465567734.0
12,"Mar 09, 2020",8111.15,8177.79,7690.1,7923.64,46936995808.0,144706353758.0
13,"Mar 08, 2020",8908.21,8914.34,8105.25,8108.12,39973102121.0,148060284561.0
14,"Mar 07, 2020",9121.6,9163.22,8890.74,8909.95,36216930370.0,162684945903.0
15,"Mar 06, 2020",9078.31,9167.7,9032.08,9122.55,40826885651.0,166548261960.0
16,"Mar 05, 2020",8760.29,9142.05,8757.25,9078.76,39698054597.0,165731679918.0
17,"Mar 04, 2020",8788.54,8843.37,8712.43,8755.25,34746706368.0,159807857328.0
18,"Mar 03, 2020",8865.39,8901.6,8704.99,8787.79,42386715821.0,160383579416.0
19,"Mar 02, 2020",8563.26,8921.31,8532.63,8869.67,42857674409.0,161861167745.0
20,"Mar 01, 2020",8599.76,8726.8,8471.21,8562.45,35349164300.0,156238987740.0
21,"Feb 29, 2020",8671.21,8775.63,8599.51,8599.51,35792392544.0,156895988084.0
22,"Feb 28, 2020",8788.73,8890.46,8492.93,8672.46,44605450443.0,158211707019.0
23,"Feb 27, 2020",8825.09,8932.89,8577.2,8784.49,45470195695.0,160238496932.0
24,"Feb 26, 2020",9338.29,9354.78,8704.43,8820.52,50420050762.0,160879489024.0
25,"Feb 25, 2020",9651.31,9652.74,9305.02,9341.71,42515259129.0,170369581558.0
26,"Feb 24, 2020",9921.58,9951.75,9537.04,9650.17,45080496648.0,175977808526.0
27,"Feb 23, 2020",9663.32,9937.4,9657.79,9924.52,41185185761.0,180963233540.0
28,"Feb 22, 2020",9687.71,9698.23,9600.73,9663.18,35838025154.0,176180696548.0
29,"Feb 21, 2020",9611.78,9723.01,9589.74,9686.44,40930547513.0,176587087363.0
30,"Feb 20, 2020",9629.33,9643.22,9507.9,9608.48,44925260237.0,175147142158.0
31,"Feb 19, 2020",10143.8,10191.68,9611.22,9633.39,46992019710.0,175585931679.0
